,Close,High,Low,Open,Volume,ma20,ma50,ma200,momentum20,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_pct,obv,state,signal
2025-08-18,223650.671875,226124.68373202434,221176.66001797566,222166.26476078542,479724,228103.8984375,236820.3384375,206699.178046875,-0.06611574777293328,43.51888877002604,-3916.2045210843207,-3148.1664343904417,-768.038086693879,237688.26078542514,228103.8984375,218519.53608957486,0.2676826897376198,37698162,bull,golden_cross
2025-08-19,223155.875,226124.6893015521,220681.8630820399,225629.88691796007,419214,227386.43515625,237354.725,206965.58953125,-0.060416652823764516,43.080992936466814,-3848.843518167123,-3288.301851145778,-560.5416670213449,236162.59055770902,227386.43515625,218610.27975479097,0.25897417703276593,37278948,bull,golden_cross
2025-08-20,219197.453125,221671.46501128667,217218.24361597066,219197.453125,507825,226718.4515625,237780.255,207214.178515625,-0.05744683967433806,39.64420640654763,-4067.977884620399,-3444.2370578407026,-623.7408267796964,235845.37732937545,226718.4515625,217591.52579562456,0.08797745102758837,36771123,bull,golden_cross
2025-08-21,220681.859375,224145.47600196188,219692.25462443946,219692.25462443946,463923,226297.86953125,238215.6809375,207491.3621875,-0.03671706366614502,41.52798683059336,-4074.8914579428383,-3570.36793786113,-504.5235200817083,235718.75775930766,226297.86953125,216876.98130319235,0.20193839368966351,37235046,bull,golden_cross
2025-08-22,219692.265625,224640.28962556308,218702.6608248874,221671.47522522524,543978,226050.46875,238672.8784375,207750.79578125,-0.02202639525496941,40.61782866249653,-4112.812517293001,-3678.856853747505,-433.95566354549646,235883.35170621015,226050.46875,216217.58579378985,0.17668672792528486,36691068,bull,golden_cross
2025-08-25,223155.875,223155.875,219197.45593126386,222166.27023281596,564999,225605.146875,239167.6809375,208033.45609375,-0.03837950852101413,45.149064609949676,-3819.353767299006,-3706.956236457805,-112.39753084120093,235109.86267726033,225605.146875,216100.43107273968,0.37115491267937006,37256067,bull,golden_cross
2025-08-26,218702.65625,222166.27297794117,218702.65625,221671.4705882353,685341,224887.68359375,239395.29,208268.246171875,-0.061571110461369205,40.834673641467674,-3901.1530655396637,-3745.795602274177,-155.35746326548679,234199.9653779039,224887.68359375,215575.4018095961,0.16791021324791414,36570726,bull,golden_cross
2025-08-27,215733.84375,219692.26290137615,214249.43656823394,219692.26290137615,691579,224145.48046875,239622.8990625,208509.8571875,-0.0643776445949058,38.21301879988189,-4157.611597602372,-3828.158801339816,-329.45279626255615,233881.90486962264,224145.48046875,214409.05606787736,0.06803255628441497,35879147,bull,golden_cross
2025-08-28,215239.03125,216228.6359913793,212765.0193965517,215239.03125,663919,223329.05625,239108.304375,208750.471328125,-0.07051284516711886,37.777683064149414,-4350.632680014998,-3932.653577074853,-417.97910294014537,233176.8688223011,223329.05625,213481.2436776989,0.0892476151122753,35215228,bull,golden_cross
2025-08-29,212270.21875,215733.83537296037,211775.41637529136,215239.03299825176,750586,222314.7109375,238366.100625,208946.698203125,-0.08723407743366285,35.187512695429874,-4689.108511762606,-4083.9445640124036,-605.1639477502026,232329.2979787385,222314.7109375,212300.1238962615,-0.0014930793520670311,34464642,bull,golden_cross
2025-09-01,213259.828125,214249.43289588168,208311.80427059165,209301.40904147332,634984,221844.6484375,237297.3271875,209143.933984375,-0.04222224233874505,36.74440184953431,-4821.915797185822,-4231.538810647087,-590.3769865387349,232604.86707351395,221844.6484375,211084.42980148605,0.10108522870683082,35099626,bull,golden_cross
2025-09-02,222661.078125,226619.4972916667,213754.635,213754.635,1790972,221473.546875,236010.84125,209389.160859375,-0.03225804480025185,49.22315517455498,-4121.059216851485,-4209.442891887967,88.38367503648169,231562.6649424648,221473.546875,211384.4288075352,0.5588520840998744,36890598,bull,golden_cross
2025-09-03,218702.65625,222661.07536764705,217713.05147058825,222166.27297794117,711207,220929.2640625,234635.290625,209597.854453125,-0.047413808357513854,45.18154458852315,-3840.762966255046,-4135.706906761383,294.94394050633673,230361.70865553722,220929.2640625,211496.8194694628,0.38197079820942553,36179391,bull,golden_cross
2025-09-04,224640.28125,227114.29315803963,219197.45505231275,219197.45505231275,971838,220855.04375,233517.0375,209861.347890625,-0.006564547491082817,51.60098161195853,-3103.7315680241445,-3929.3118390139357,825.5802709897912,230145.0825634693,220855.04375,211565.00493653072,0.7037256020131967,37151229,bull,golden_cross
2025-09-05,226619.5,228103.9072052402,223155.88318777294,225135.09279475984,941824,220533.42265625,232883.690625,210127.843984375,-0.02760081025399186,53.55347291828978,-2333.0287595182017,-3610.055223114789,1277.0264635965873,228457.06352496668,220533.42265625,212609.78178753334,0.8840455066419298,38093053,bull,golden_cross
2025-09-08,225629.890625,227114.29780016447,223650.68105811402,226124.6930167215,716688,220459.20234375,232299.82375,210362.803125,-0.006535943665479604,52.41489703650609,-1781.557748471998,-3244.355728186231,1462.797979714233,228159.54428758234,220459.20234375,212758.86039991764,0.8357440694819739,37376365,bull,golden_cross
2025-09-09,228598.703125,230577.9126758658,223650.6792478355,226124.69118641777,929473,220855.04453125,231676.3728125,210608.667265625,0.03587446549717099,55.47332501563308,-1092.3625660458347,-2813.957095758152,1721.5945297123171,229334.95498273513,220855.04453125,212375.13407976486,0.9565884650582492,38305838,bull,golden_cross
