Date,sma111,sma350x2
2022-12-16,18788.44825098536,57378.08369419643
2022-12-17,18763.02732615428,57201.559575892854
2022-12-18,18731.135275900902,57026.77533482143
2022-12-19,18700.89087134009,56855.24140625
2022-12-20,18672.571421030407,56689.57700892857
2022-12-21,18642.755155546172,56536.71147321429
2022-12-22,18614.472005208332,56386.250970982146
2022-12-23,18587.12844876126,56244.75983258928
2022-12-24,18558.849556587837,56102.553058035715
2022-12-25,18532.089333474098,55959.298113839286
2022-12-26,18514.81128589527,55817.00407366071
2022-12-27,18491.629750844593,55668.325892857145
2022-12-28,18466.609375,55511.774296875
2022-12-29,18423.917388091217,55363.49299107143
2022-12-30,18378.170062640766,55212.08091517857
2022-12-31,18331.127181869368,55059.91004464286
2023-01-01,18279.367099521398,54908.54547991072
2023-01-02,18246.860465934686,54762.47645089286
2023-01-03,18214.777290962837,54615.64344866072
2023-01-04,18189.20996973536,54473.465792410716
2023-01-05,18162.760891751128,54337.216183035714
2023-01-06,18134.15181587838,54225.757053571426
2023-01-07,18111.94976421734,54122.470357142854
2023-01-08,18089.85080588401,54012.83801339286
2023-01-09,18074.58743313626,53901.650736607146
2023-01-10,18064.667546452703,53790.17810267857
2023-01-11,18051.346336570947,53682.07967633929
2023-01-12,18047.49002322635,53577.68741071429
2023-01-13,18056.251847550677,53475.5459375
2023-01-14,18075.839245495496,53377.478046875
2023-01-15,18090.77732615428,53280.12488839286
2023-01-16,18109.32764991554,53181.190647321426
2023-01-17,18124.956468186938,53080.72348214286
2023-01-18,18135.00809403153,52987.78517857143
2023-01-19,18149.918039132885,52895.96912946428
2023-01-20,18180.228462837837,52788.40157366071
2023-01-21,18213.86375633446,52681.75277901786
2023-01-22,18241.76317919482,52569.22696428571
2023-01-23,18265.164871903155,52449.76494419643
2023-01-24,18287.46894355293,52327.010792410714
2023-01-25,18315.95917792793,52205.74829241072
2023-01-26,18347.363932291668,52088.420658482144
2023-01-27,18380.356366131757,51977.968035714286
2023-01-28,18412.65063696509,51868.17729910714
2023-01-29,18454.390114724098,51762.90330357143
2023-01-30,18488.522733671172,51650.06456473214
2023-01-31,18524.395147100226,51527.57359375
2023-02-01,18563.502041103602,51411.92736607143
2023-02-02,18602.116589245496,51314.4065625
