Date,Close,High,Low,Open,Volume,ma20,ma50,ma200,momentum20,rsi14,state,signal
2021-11-11,65468.90625,66483.32315256257,65234.81004171633,65937.09866656734,1378687,66448.203515625,65375.26421875,,-0.002378096370522109,46.854062364775906,bear,hold
2021-11-12,67731.8359375,68043.96421370967,65703.00214213709,65703.00214213709,1452405,66565.2517578125,65448.614375,,0.035799566584665765,56.12042926545733,bear,hold
2021-11-15,67497.7421875,68043.96669075145,67107.58182803469,67887.90254696531,1399503,66654.9892578125,65509.479453125,,0.027316107535532375,55.05110625794043,bear,hold
2021-11-16,65702.9921875,67185.60127486639,65546.92807304038,67185.60127486639,2018714,66651.0876953125,65495.433515625,,-0.0011862273634909437,47.56770619949956,bear,hold
2021-11-17,65546.9375,66093.16197916667,64766.61681547619,65937.09784226191,1630225,66658.891015625,65467.341953125,,0.002386669632008065,46.96983248050391,bear,hold
2021-11-18,64844.640625,65859.0573856799,64766.60856648617,65859.0573856799,1480955,66639.382421875,65456.41734375,,-0.0059810377319625685,44.272936574051954,bear,hold
2021-11-19,65390.87109375,66171.19175119333,64922.67869928401,65624.967290983,1398930,66654.9888671875,65423.643828125,,0.004796173001480497,46.83005730946698,bear,hold
2021-11-22,66873.484375,67029.54851589848,64766.61847287048,65546.93917736289,2198585,66709.6119140625,65415.840703125,,0.01660753938463677,53.11824613201167,bear,hold
2021-11-23,65312.8359375,67107.57336469534,65312.8359375,66639.38099238352,1643812,66666.6943359375,65379.945859375,,-0.012971681405898883,46.838727557040464,bear,hold
2021-11-24,65078.7421875,65468.90251236511,64610.54979766187,65312.83838241907,1249518,66604.2685546875,65317.520234375,,-0.01882356765795168,45.96103613586553,bear,hold
2021-11-25,64298.421875,65234.80665958738,64298.421875,65156.7745942051,1103335,66463.8107421875,65261.337109375,,-0.04186049219012844,43.0642187720701,bear,hold
2021-11-26,62893.83984375,64298.41691222084,62815.807784390505,64298.41691222084,1523245,66288.23828125,65231.68484375,,-0.052879059308740595,38.37559576378095,bear,hold
2021-11-29,61801.3984375,62737.78326231061,61021.077750157834,61333.206025094696,1758416,66089.25703125,65178.623046875,,-0.06049807059905554,35.168456781025185,bear,hold
2021-11-30,60708.9453125,63127.93927739396,60552.88118573265,62815.811023859256,2158288,65769.325390625,65091.227109375,,-0.09534888594223123,32.26458108018967,bear,hold
2021-12-01,63362.03515625,63596.13134525093,61333.20151824199,61645.329770243225,2028485,65621.0642578125,65058.45359375,,-0.0447059437408428,44.294361420327164,bear,hold
2021-12-02,63674.15625,63908.25241268382,62035.48311121323,62581.70749080882,1330373,65410.3775390625,65013.1946875,,-0.0620690131363173,45.52019983939918,bear,hold
2021-12-03,64376.453125,64766.6134469697,63596.1324810606,63908.26073863636,1306187,65195.7892578125,64988.224375,,-0.06250002844292502,48.27817415984942,bear,hold
2021-12-06,65468.90625,65703.00245828368,63830.23279201431,64142.36106972587,1532396,65031.9220703125,64983.54265625,,-0.04767305489390328,52.32154560185164,bear,hold
2021-12-07,65000.7109375,65702.99953106242,64532.51854179171,65078.743003451375,1436180,64887.5630859375,64994.467109375,,-0.042528640394032036,50.499473431973605,bear,hold
2021-12-08,64922.67578125,65781.02846585787,64922.67578125,65624.96434138372,1343368,64797.8265625,65011.6340625,,-0.026900483241582895,50.18577412156221,bear,hold
2021-12-09,65624.96875,66171.19322235434,64298.42360285374,64298.42360285374,1774961,64805.6296875,65074.059609375,,0.0023837651938778404,53.01457619878953,bear,hold
2021-12-10,66639.3828125,67029.54313341627,65000.709464651634,65390.86978556791,1690388,64751.00703125,65136.48515625,,-0.01612909365114612,56.82814439004449,bear,hold
2021-12-13,67107.578125,68824.2836119186,67029.54605741278,67497.73846293605,2232198,64731.498828125,65211.396015625,,-0.005780401682417335,58.50227426940931,bear,hold
2021-12-14,66561.359375,67653.8084151524,66093.16692922039,66483.3273007034,1006657,64774.4171875,65320.6409375,,0.013064354589064076,55.78442349920037,bear,hold
2021-12-15,65781.0234375,66561.34400022242,65702.99138122775,65937.08755004448,651974,64786.121484375,65422.0825,,0.0035712719225058365,52.06321880575206,bear,hold
2021-12-16,66873.484375,67107.58058634773,65859.06745915987,66639.38816365227,1014992,64887.563671875,65593.753046875,,0.031287763035543925,56.443780312505034,bear,hold
2021-12-17,66015.1328125,66951.51767508866,65937.10074061762,66093.1648843824,1300076,64918.7767578125,65668.6640625,,0.009546618791100192,52.39265836547765,bear,hold
2021-12-20,64688.58203125,65937.09507407268,64610.54996607359,65937.09507407268,924100,64809.531640625,65684.270546875,,-0.0326721773834594,46.80195350996755,bear,hold
2021-12-21,64922.67578125,65234.80403019831,64298.41928335337,65156.771967961235,977687,64790.0236328125,65699.876875,,-0.005973713293101479,47.859314991955515,bear,hold
2021-12-22,65468.90625,66171.19487485102,65078.74590286055,65312.84211114422,1002461,64809.5318359375,65695.19515625,,0.0059952612694309515,50.33963923047603,bear,hold
2021-12-23,65702.9921875,66093.15247364905,65312.83190135095,65937.08835918944,834876,64879.7603515625,65696.755625,,0.02184455343601699,51.40646694047534,bear,hold
2021-12-24,66405.2890625,66951.51353187427,65937.0966601792,66093.16079428613,1210818,65055.3328125,65717.043984375,,0.055831369613839055,54.56037650560848,bear,hold
2021-12-27,66171.1875,66951.50810731133,66171.1875,66639.37986438679,627895,65273.822265625,65726.407890625,,0.07070696089376005,53.318112822134516,bear,hold
2021-12-28,65937.1015625,66483.32607248522,65390.87705251479,66327.26192677514,1209343,65535.230078125,65729.529453125,,0.0861183837585715,52.042123227325035,bear,hold
2021-12-29,67474.28125,68040.61214778178,67393.37683603118,67716.99449190647,1061718,65740.8423828125,65771.19765625,,0.06490078930718135,58.98376437315268,bear,hold
2021-12-30,66503.4296875,67878.8047540298,66422.52527182177,67393.37825996046,1252096,65882.3060546875,65796.57,,0.04443362274627716,53.69727527801751,bear,hold
2022-01-04,67555.1875,67959.70958083833,66907.95217065868,67150.66541916168,959153,66041.2427734375,65846.09890625,,0.04937728347394099,58.08054393073444,bear,hold
2022-01-05,69496.890625,70467.7435790163,68606.94208381839,68849.65532232246,3678719,66242.6419921875,65920.41625,,0.061525151491285124,64.7205067310121,bear,hold
2022-01-06,69254.1796875,70063.2238427278,68526.03994779497,68768.75319436332,1767632,66455.3154296875,65982.07609375,,0.06543726504914438,63.36930512126154,bear,hold
2022-01-07,70144.125,70548.64705882354,69335.08088235294,69415.98529411765,1905888,66716.387890625,66058.4134375,,0.08042566261968487,66.15913876689977,bear,hold
2022-01-10,67797.8984375,69982.31759956742,67555.18519727029,69658.6999459278,1818497,66825.034375,66072.21984375,,0.033111325291107274,54.396708030795914,bear,hold
2022-01-11,68040.609375,69092.36671373365,67555.18291096909,68364.22701768727,1225547,66895.095703125,66104.92625,,0.021027003903120844,55.282414198167714,bear,hold
