Date,로테이션(금리보정),VOO B&H,phase
2023-11-22,1051253.4117864908,1119770.886712596,overheated
2023-11-24,1051774.38633015,1120386.7209125357,overheated
2023-11-27,1051837.2096038563,1118431.9074725579,overheated
2023-11-28,1052667.3095922729,1119529.8383658966,overheated
2023-11-29,1056431.8560295526,1118806.7777560416,overheated
2023-11-30,1056485.1576748618,1123145.225845415,overheated
2023-12-01,1066804.650208936,1129732.980065935,overheated
2023-12-04,1060487.4644752364,1124055.5527365236,expansion
2023-12-05,1060979.8583764578,1123707.5312706407,overheated
2023-12-06,1060274.0374117605,1119021.2305758726,overheated
2023-12-07,1067771.154257799,1127778.0821957132,expansion
2023-12-08,1068355.6619834565,1132571.6937306407,overheated
2023-12-11,1075707.5434749187,1136963.5861644836,overheated
2023-12-12,1079545.9572573178,1142614.08024605,overheated
2023-12-13,1097655.6349965087,1158173.1389062416,overheated
2023-12-14,1111670.648756131,1161574.2424264173,overheated
2023-12-15,1110001.1622732275,1159806.6952676934,overheated
2023-12-18,1111649.7107574511,1166367.6851008565,overheated
2023-12-19,1118152.9300407614,1173464.3848323768,overheated
2023-12-20,1103729.6896147393,1156526.0737057456,expansion
2023-12-21,1114081.664077824,1167793.2053410234,expansion
2023-12-22,1116805.869530703,1170509.326291401,expansion
2023-12-26,1124102.4622465037,1175376.3921386325,overheated
2023-12-27,1128882.2000008174,1177527.421465731,overheated
2023-12-28,1126875.2961133076,1177715.785340157,overheated
2023-12-29,1122228.8739966536,1174569.492296458,overheated
2024-01-02,1113567.5191969967,1167067.1896726277,expansion
2024-01-03,1104941.1994790656,1158408.5304265914,expansion
2024-01-04,1099647.939775145,1154751.5188367674,expansion
2024-01-05,1100363.6184424337,1156230.3145609158,expansion
2024-01-08,1113869.3346795777,1172767.9197493908,expansion
2024-01-09,1110703.8907839956,1169917.385850521,overheated
2024-01-10,1112039.3418378062,1177634.9855966226,overheated
2024-01-11,1112702.6505642338,1177231.7467511452,overheated
2024-01-12,1113644.1442394077,1177769.567405603,overheated
2024-01-16,1108993.01532608,1173762.8457450154,expansion
2024-01-17,1102056.256726464,1167228.620299209,expansion
2024-01-18,1112426.3566569742,1177608.0523487777,expansion
2024-01-19,1128102.725000338,1192021.3925975107,expansion
2024-01-22,1131120.547684616,1194737.3446874,expansion
2024-01-23,1133014.0442742694,1198286.7921463326,overheated
2024-01-24,1132625.1072853776,1199281.7181419572,expansion
2024-01-25,1138086.1162645428,1206031.1562797907,expansion
2024-01-26,1132380.7812527649,1205305.3094718829,expansion
2024-01-29,1141065.3527241824,1214071.4484185667,expansion
2024-01-30,1139095.518718998,1213211.1042319224,expansion
2024-01-31,1127566.715095734,1193446.7439771898,expansion
2024-02-01,1140687.923928221,1209150.6005058892,expansion
2024-02-02,1145233.7260558263,1221573.8354726408,expansion
2024-02-05,1141878.7045255736,1217110.2617616185,expansion
2024-02-06,1143535.8945290856,1220901.686299935,expansion
2024-02-07,1150929.9339263297,1230931.8304299603,overheated
2024-02-08,1154688.4612637926,1231765.3257990035,overheated
2024-02-09,1160879.0704292385,1238756.825446465,overheated
2024-02-12,1161129.7247453956,1238192.1559744065,expansion
2024-02-13,1142828.1357414247,1220740.3401035976,expansion
2024-02-14,1154064.9989903881,1232356.928518907,expansion
2024-02-15,1160749.000998668,1240692.9798025126,expansion
2024-02-16,1155835.2881981058,1234346.8649404002,expansion
2024-02-20,1149812.5387254418,1227570.4935547218,expansion
2024-02-21,1149792.7874100073,1228807.3966297305,expansion
2024-02-22,1173686.4168319833,1254622.112601746,expansion
2024-02-23,1173738.2382920433,1255186.8665040485,expansion
2024-02-26,1172402.018116696,1250588.5421235573,expansion
2024-02-27,1172478.2041727095,1252901.1709377253,expansion
2024-02-28,1169704.4758056393,1250965.0165816778,expansion
2024-02-29,1179619.3187945324,1255590.1897797696,expansion
2024-03-01,1197093.4614918488,1267690.8167840908,expansion
2024-03-04,1200512.046237242,1266184.8345213654,expansion
2024-03-05,1193698.1062349847,1253492.773657629,expansion
2024-03-06,1203751.7159308714,1260134.5632343267,expansion
2024-03-07,1217170.1068295734,1272611.8335572565,expansion
