Date,SOXX,466950.KS,469170.KS
2024-11-14,1325163.8833590546,1376443.2156403512,1148554.375756601
2024-11-15,1308662.8187320787,1361665.1291058518,1128971.1335012356
2024-11-18,1318662.7172015074,1375310.7428918264,1141276.425822921
2024-11-19,1323163.5791037597,1379252.5442523535,1146551.2777806653
2024-11-20,1322531.2353941833,1386450.3079630549,1146538.8443126136
2024-11-21,1331683.103486971,1390614.5405337836,1155210.6632558214
2024-11-22,1338282.228532725,1403881.2411872612,1161519.0480774275
2024-11-25,1342161.7809683832,1408561.9680304206,1169232.4694956418
2024-11-26,1341651.940450955,1404785.879062875,1169587.6364551429
2024-11-27,1338752.2476673129,1405282.305040349,1166825.4503545482
2024-11-29,1348984.7538144374,1410766.0674211527,1164861.4211796382
2024-12-02,1354115.2302471458,1413786.6856731048,1163193.7007525025
2024-12-03,1350726.7747632205,1413411.3913647833,1160527.7742384025
2024-12-04,1358922.2273368586,1423816.5243857775,1157268.548117708
2024-12-05,1352627.3360209672,1429419.1568530942,1152060.5518283106
2024-12-06,1354837.7196711386,1430816.1873545113,1154018.6996274358
2024-12-09,1350698.9716665614,1434740.0776645746,1142973.3856878695
2024-12-10,1344914.105004428,1424251.5296098143,1150183.7747767086
2024-12-11,1353819.637020906,1421837.2404676755,1153483.74644012
2024-12-12,1343284.3958356963,1419115.3202854341,1150120.8075701545
2024-12-13,1344490.8393201896,1413970.9791229805,1143995.2139152563
2024-12-16,1350718.2746063878,1416804.4190487622,1144570.8322760316
2024-12-17,1344453.194247167,1420210.0825155857,1136762.2224055282
2024-12-18,1309207.9534779778,1387942.6593840814,1114859.3953383456
2024-12-19,1301730.5481357875,1372623.8304825374,1107616.942807122
2024-12-20,1315909.2591509945,1382628.1529022453,1115493.9390372864
2024-12-23,1324149.9191083324,1393897.2928735116,1120373.8673111743
2024-12-24,1334529.3803716344,1402610.9005410026,1126322.0224277757
2024-12-26,1335749.8143140248,1411584.7006207397,1125866.4984026668
2024-12-27,1324337.9797045754,1400328.758259594,1114585.5749623794
2024-12-30,1313391.632529449,1387891.9697703016,1108991.7566739214
2025-01-02,1311598.4895201176,1382965.3054529643,1107800.9213840333
2025-01-03,1326750.8897431854,1391100.9081463101,1119337.3615836753
2025-01-06,1336852.1779703724,1403679.3433577348,1122401.372163236
2025-01-07,1325164.308212438,1398314.4730514337,1116362.5856425115
2025-01-08,1324468.1520082867,1393347.6038176212,1119960.8515579277
2025-01-10,1306602.310034715,1376091.568969775,1111064.3344651675
2025-01-13,1307098.1936481036,1373104.820454301,1108153.8746143891
2025-01-14,1311583.713715399,1374740.280397266,1111889.4209707016
2025-01-15,1333097.3493243938,1390037.7583428964,1125295.9480850953
2025-01-16,1333790.4865404319,1400933.085695455,1128112.7352260808
2025-01-17,1348185.7806758767,1408155.2455456972,1131558.7937914263
2025-01-21,1361883.8149523719,1420728.1681923983,1138750.4383168523
2025-01-22,1368136.6420249464,1432367.6889671846,1143363.7349877164
2025-01-23,1371486.441122547,1436503.1993653313,1141131.1254267227
2025-01-24,1364761.8236350499,1436818.7960442414,1142245.7248853934
2025-01-31,1343141.4063930854,1422533.6432285164,1138743.113408118
2025-02-03,1334651.7517403455,1407849.368188115,1125306.874614964
2025-02-04,1343529.824849808,1424619.6980685305,1125180.9994716875
2025-02-05,1355281.5081455132,1428873.0737645484,1138177.419327866
2025-02-06,1355729.1606409084,1436196.8781438787,1138330.5099749232
2025-02-07,1343137.039272759,1428452.6070800563,1127548.5356643707
2025-02-10,1353805.5458963388,1436777.3982265368,1134402.818872457
2025-02-11,1354708.7544051462,1441198.0527322562,1134157.969535377
2025-02-12,1349969.5372950493,1430992.6892459749,1128287.8577718304
2025-02-13,1364709.0618644243,1444257.2627381787,1150187.3808550949
2025-02-14,1363502.1768579527,1444273.177331042,1144924.719874819
2025-02-18,1371895.7974184875,1450499.1568320426,1148941.7325608672
2025-02-19,1379650.9784674398,1453813.0834365198,1170183.551780297
2025-02-20,1378815.2134729433,1445596.076887817,1172368.0547025292
2025-02-21,1358955.2625211522,1431180.8600789998,1176076.0646724778
2025-02-24,1350517.8885278604,1417622.5984292217,1181407.1582412017
